order,text,rating,product
211,My first fit bit versa. I'm delighted with it.,5.0 out of 5 stars,Fitbit FB507BKBK Versa
219,Applications are not abundant,3.0 out of 5 stars,Fitbit FB507BKBK Versa
220,Very happy with my watch,5.0 out of 5 stars,Fitbit FB507BKBK Versa
225,Super super super,5.0 out of 5 stars,Fitbit FB507BKBK Versa
227,Brilliant,5.0 out of 5 stars,Fitbit FB507BKBK Versa
236,Me encanta 💗,5.0 out of 5 stars,Fitbit FB507BKBK Versa
242,Gut,5.0 out of 5 stars,Fitbit FB507BKBK Versa
247,Very happy with the product,5.0 out of 5 stars,Fitbit FB507BKBK Versa
248,"Excellent premium watch, accuracy is little bit ok, even when i am driving, its counting steps!",4.0 out of 5 stars,Fitbit FB507BKBK Versa
252,Excelente,5.0 out of 5 stars,Fitbit FB507BKBK Versa
256,"Ha problemi di sincronizzazione con telefono Android, per aggiornarlo ho dovuto sincronizzare con iPhone. Le notifiche arrivano a volte a causa di problemi di sincronizzazione. Sconsigliato assolutamente",1.0 out of 5 stars,Fitbit FB507BKBK Versa
260,Failed after one swim. Software still as glitchy as previous generation. Good battery life though. Only lasted 2 years,1.0 out of 5 stars,Fitbit FB507BKBK Versa
267,This product is very nice and lightweight it's a nice look also,4.0 out of 5 stars,Fitbit FB507BKBK Versa
278,"Arrived  in perfect,  condition",5.0 out of 5 stars,Fitbit FB507BKBK Versa
283,Synchronization problem,5.0 out of 5 stars,Fitbit FB507BKBK Versa
284,Funziona bene ed è molto utile. consiglio,5.0 out of 5 stars,Fitbit FB507BKBK Versa
285,Perfect watch!,5.0 out of 5 stars,Fitbit FB507BKBK Versa
286,"Top Produkt...
Sehr empfehlenswert!!!!",5.0 out of 5 stars,Fitbit FB507BKBK Versa
294,Alexa is bad .,4.0 out of 5 stars,Fitbit FB507BKBK Versa
297,"Fácil de configurar, excelente calidad. Por ahora sin problemas.",5.0 out of 5 stars,Fitbit FB507BKBK Versa
299,So I have had my versa 2 for about three months now. Its was a really good watch but the last few days the screen has started flickering all the time to the point its not use able. I have never dropped it or anything like that also. It has no damage to it what so ever. Its seems im not the only person this has happened to also. Its a real shame as its a great watch but I just don't know if i want to risk getting another one now.,2.0 out of 5 stars,Fitbit FB507BKBK Versa
301,It worked for 2 weeks and the screen has gone black... waiting to speak to Fitbit to get it sorted.,1.0 out of 5 stars,Fitbit FB507BKBK Versa
303,Thank you,5.0 out of 5 stars,Fitbit FB507BKBK Versa
305,My item is supposed to have a built in Alexa  and the Amazon Alexa tile is not even showing. Not sure what to do or how to fix this. I would like to speak to someone about this if possible,2.0 out of 5 stars,Fitbit FB507BKBK Versa
307,Looking superb and very stylish,5.0 out of 5 stars,Fitbit FB507BKBK Versa
313,"I love this fitbit, it was an upgrade from a fitbit Blaze for me and it works very well and very easy to use.",5.0 out of 5 stars,Fitbit FB507BKBK Versa
320,Bargain price. Perfect fit. Nice colour.,5.0 out of 5 stars,Fitbit FB507BKBK Versa
336,"I bought this for my wife and after about 2 months use she is very happy with the product. Her only word of caution is the battery life, requiring charging every three days or so. If you can handle that then this watch is great value for money.",4.0 out of 5 stars,Fitbit FB507BKBK Versa
344,Screen is not working after 9 months. NO SERVICE CENTER in hyderabad,1.0 out of 5 stars,Fitbit FB507BKBK Versa
353,Bought as a gift for my daughter she already had the blaze but wanted the more up dated version so is really pleased with it,5.0 out of 5 stars,Fitbit FB507BKBK Versa
355,"In poche parole:
Perfetto in tutto, dalla durata della batteria (6gg io non faccio attività fisica, ma sonno, passi, e battito cardiaco sono monitorati) al pagamento NFC (io uso la carta prepagata YAP che adoro seconda solo ala Hype) integrazione ALEXA top! Al polso è bellissimo, leggero e personalizzabile
Applicazione Fitbit intuitiva e ben fatta.",5.0 out of 5 stars,Fitbit FB507BKBK Versa
358,Sehr schöne Uhr. Aber nicht vergleichbar mit der Apple. Aber eine gute Alternative. Würde ich mir wieder kaufen,4.0 out of 5 stars,Fitbit FB507BKBK Versa
359,Nothing in the box very angry ripped off by £167..,1.0 out of 5 stars,Fitbit FB507BKBK Versa
364,Love the upgrade.  Delivery was fast and packaging was protected. Easy set up and ready to use. Came with instructions which were helpful.  Came with small and large strap.,5.0 out of 5 stars,Fitbit FB507BKBK Versa
365,Verbindung zum Smartphone bricht immer mal wieder ab.,4.0 out of 5 stars,Fitbit FB507BKBK Versa
367,Prodotto superiore alle aspettative.autonomia batteria notevole.intuitivo.ottimo schermo.altamente consigliato.,5.0 out of 5 stars,Fitbit FB507BKBK Versa
371,It Ticks Every Box. Mr  A. Morris. Allan Morris. ( DIOLCH. ).,5.0 out of 5 stars,Fitbit FB507BKBK Versa
374,Perfect gift for partner,5.0 out of 5 stars,Fitbit FB507BKBK Versa
379,Sehr zufrieden,5.0 out of 5 stars,Fitbit FB507BKBK Versa
381,Good all around watch,5.0 out of 5 stars,Fitbit FB507BKBK Versa
382,Bought this Fitbit in December 2020 and had to ship back in February 2021 because it stopped working randomly. Followed all steps given from Fitbit support to try to turn on device but turns out it was a faulty device. Still waiting to receive new one since it was under warranty. Upset that I spent so much money just to go through trouble.,1.0 out of 5 stars,Fitbit FB507BKBK Versa
383,Excellent product,5.0 out of 5 stars,Fitbit FB507BKBK Versa
387,"Nice look to the watch ,easy to read time and all the other functions .",5.0 out of 5 stars,Fitbit FB507BKBK Versa
394,Can’t keep track of floors you have climbed.. I climb 3 and it counts 1 and the no of steps counted are more than actual no of steps,1.0 out of 5 stars,Fitbit FB507BKBK Versa
395,"I just love this, easy to use and see and very light",5.0 out of 5 stars,Fitbit FB507BKBK Versa
397,Arrived on time and great product.,5.0 out of 5 stars,Fitbit FB507BKBK Versa
401,"My first Fitbit. Love it. Lovely interface, apps and personalisation.",5.0 out of 5 stars,Fitbit FB507BKBK Versa
402,"Good quality, long battery life",5.0 out of 5 stars,Fitbit FB507BKBK Versa
406,Prodotto top non ha nulla di meno di altri più blasonati...,5.0 out of 5 stars,Fitbit FB507BKBK Versa
413,Great,5.0 out of 5 stars,Fitbit FB507BKBK Versa
414,Excellent,5.0 out of 5 stars,Fitbit FB507BKBK Versa
419,"It was working well for the last few months, but all of a sudden the display stopped to work. It has a white screen all the time.",3.0 out of 5 stars,Fitbit FB507BKBK Versa
422,"Super Uhr !
Einstellung in 2 min
Batterie hält Lange",5.0 out of 5 stars,Fitbit FB507BKBK Versa
423,"Wow. This has really highlighted how lazy, inactive and very little sleep I get. I’m not gona change anything. But it’s nice to know and have proof of what my other half has said for yours. Thanks fit bit.",5.0 out of 5 stars,Fitbit FB507BKBK Versa
424,Love it!,5.0 out of 5 stars,Fitbit FB507BKBK Versa
429,Got blisters everywhere in I put this.,1.0 out of 5 stars,Fitbit FB507BKBK Versa
432,good value for money,5.0 out of 5 stars,Fitbit FB507BKBK Versa
435,Love it,5.0 out of 5 stars,Fitbit FB507BKBK Versa
443,Non compatibile con Xiaomi 9 redmi,1.0 out of 5 stars,Fitbit FB507BKBK Versa
445,Nice,5.0 out of 5 stars,Fitbit FB507BKBK Versa
449,"The watch itself is as expected. Was bought as a gift and liked it so bought another for myself. Only issue was that I order a rose/pink model but received the black version (the box said it was rose/pink but that wasn't what was in the box). As it was a gift, I did not have time to return it and reorder the one I wanted.",5.0 out of 5 stars,Fitbit FB507BKBK Versa
451,Rarely picks up heart rate,1.0 out of 5 stars,Fitbit FB507BKBK Versa
452,Watch is great. Really happy with it,5.0 out of 5 stars,Fitbit FB507BKBK Versa
453,Battery life is good. Mobile app is ok,5.0 out of 5 stars,Fitbit FB507BKBK Versa
454,"5... setzen.. Fitbit. Echt ein Witz was ihr da für den Preis verkauft.
Vorallem wenn man Bluetooth ausschaltet und wieder einschaltet wird der Tracker nicht mehr gefunden.",1.0 out of 5 stars,Fitbit FB507BKBK Versa
461,"Gute Uhr habe sie nun schon für mehrere gekauft, bin sehr zufrieden",4.0 out of 5 stars,Fitbit FB507BKBK Versa
467,Perfect for my purpose,5.0 out of 5 stars,Fitbit FB507BKBK Versa
469,Had it not be on sale I would not have bought it. Not a smart watch in true “smart” sense. On sale it’s okay but feel sorry for people who would have bought it at full price,3.0 out of 5 stars,Fitbit FB507BKBK Versa
470,"I love this watch, it’s fabulous!!!
Use it generally to monitor steps per day & sleep but there’s so many other really good functions!!!
Easy to set up, easy to use!!!
Wish I’d have bought one years ago",5.0 out of 5 stars,Fitbit FB507BKBK Versa
474,Bought this as a gift and they love it,5.0 out of 5 stars,Fitbit FB507BKBK Versa
476,Überall,4.0 out of 5 stars,Fitbit FB507BKBK Versa
477,I've had a fit bit for a good few years now always upgrade to the new one each time can't go wrong with them! Just make sure you don't wear it 24/7 I do sometime get an itchy wrist when I wear it for too long but apart from that I can't fault it!,5.0 out of 5 stars,Fitbit FB507BKBK Versa
479,"I had a charge 2 previously and decided to treat myself and get a versa and I absolutely love it! Battery is good and I have nothing bad to say about it so far, great product",5.0 out of 5 stars,Fitbit FB507BKBK Versa
482,smartwatch eccellente per ogni funzione. utile sia per attività sportiva che per monitoraggio della salute quotidiana.,5.0 out of 5 stars,Fitbit FB507BKBK Versa
485,The only time the fitbitbisnt accurate is when I have home of my pram,5.0 out of 5 stars,Fitbit FB507BKBK Versa
489,Want to know it will connect with iphone -5?,5.0 out of 5 stars,Fitbit FB507BKBK Versa
490,Should have a better battery power,3.0 out of 5 stars,Fitbit FB507BKBK Versa
491,"Super schöne Fitbit ,würde immer wieder kaufen entspricht meinen erwartungen",5.0 out of 5 stars,Fitbit FB507BKBK Versa
492,Hi I had to return this item as it wouldn't download to my phone and still waiting for a refund,1.0 out of 5 stars,Fitbit FB507BKBK Versa
495,Facing some problems...would like to connect with the customer care. Thank you,2.0 out of 5 stars,Fitbit FB507BKBK Versa
497,"Sehr oft bluetooth probleme gehabt am anfang, aber läuft gut und sieht gut aus",4.0 out of 5 stars,Fitbit FB507BKBK Versa
499,Didn't sync well with my huawei phone and so returned,3.0 out of 5 stars,Fitbit FB507BKBK Versa
503,Very satisfied with my purchased. Very easy to use and love the look of the rose gold with bordeoux colour straps👍🏼. I need to get another colour to change every now and then 😋,5.0 out of 5 stars,Fitbit FB507BKBK Versa
506,good,5.0 out of 5 stars,Fitbit FB507BKBK Versa
507,"Me gustó mucho el reloj, siempre me mantiene al tanto de mis pasos, tiempo en zona activa cuando hago ejercicio, ed un reloj muy completo",5.0 out of 5 stars,Fitbit FB507BKBK Versa
509,"I love this, I have had it on everyday for the last 4 weeks since I bought it. Worth the money.",5.0 out of 5 stars,Fitbit FB507BKBK Versa
511,Like product except for battery life,4.0 out of 5 stars,Fitbit FB507BKBK Versa
512,"Not accurate on active zone, calculating active zone,even in idle time.Its calculating steps while driving. Don't buy this product.",1.0 out of 5 stars,Fitbit FB507BKBK Versa
513,Tutto ok...,5.0 out of 5 stars,Fitbit FB507BKBK Versa
518,"On the whole I am happy with the watch , though am unable to get music , keeps saying its not compatible  , anyone got advice.",2.0 out of 5 stars,Fitbit FB507BKBK Versa
520,Gegen das silikonarmband bin ich extrem allergisch.... Sehr schade.... Sonst aber ne tolle Uhr.,4.0 out of 5 stars,Fitbit FB507BKBK Versa
521,Excellent I love this watch great value for money,5.0 out of 5 stars,Fitbit FB507BKBK Versa
525,"Careful buying on amazon. Recieved parcel today all excited to get it set up and get to using it. Opens the box and no Fitbit versa 2 in the box only the charger and the extra strap.
Really pissed after spending almost $300",1.0 out of 5 stars,Fitbit FB507BKBK Versa
535,Ottimo,5.0 out of 5 stars,Fitbit FB507BKBK Versa
539,Good prlduct,5.0 out of 5 stars,Fitbit FB507BKBK Versa
540,Veramente validissimo!!,5.0 out of 5 stars,Fitbit FB507BKBK Versa
542,"Everything was going great, I was so in love with my Versa 2. A week after using the Fitbit properly (cleaning daily, taking it off every now and again etc etc), I noticed a burn which had formed on my wrist. The burn is exactly under the tracker and it hurts to touch it and my skin is shrivelled. I am quite shocked as to this happening to me after using a reputable company. I am quite scared about the health implications of using this Fitbit and want to know if others have experienced the same problems. I want my full refund because using this is quite dangerous.",1.0 out of 5 stars,Fitbit FB507BKBK Versa
549,"Smart watch is good, delivery was fast and product came un-damaged",5.0 out of 5 stars,Fitbit FB507BKBK Versa
552,Meine Freundin ist begeistert.,5.0 out of 5 stars,Fitbit FB507BKBK Versa
554,Preis Leistung optimal,5.0 out of 5 stars,Fitbit FB507BKBK Versa
556,"from my 2 weeks experience, overall is good, but just feel like the heart rate is up and down a little too much. not always accurate. but other function seems perfect.",5.0 out of 5 stars,Fitbit FB507BKBK Versa
563,Worn by senior and it quit working within 8 months,1.0 out of 5 stars,Fitbit FB507BKBK Versa
571,"Unfortunately I woke up today and the screen has gone completely blank, it’s fully charged but it’s now broken. Absolutely gutted as loved my watch and I’ve only had it since January! Charged when it needed it and kept away from water but still broke!? Upset and disappointed so wouldn’t recommend!",1.0 out of 5 stars,Fitbit FB507BKBK Versa
578,applicazione da migliorare batteria dovrebbe durare di più in stadbay comunque buona qualità del prodotto,4.0 out of 5 stars,Fitbit FB507BKBK Versa
593,"Un orologio e non solo davvero speciale, con l'applicativo sul telefono si completa. Pratico nell'indosso, bello e originale al polso. La carica dura davvero tanto . Possibilità di intercambire sia i quadranti che i cinturini. Un acquisto ottimo",5.0 out of 5 stars,Fitbit FB507BKBK Versa
597,I love my fit bit I had bought an Apple Watch didn’t like it so I got a refund and get my versa love it great value for money,5.0 out of 5 stars,Fitbit FB507BKBK Versa
598,It arrived and the battery life lasts between 12-15 hours. The box and website said it should last 4+ days. The customer service from fitbit has unhelpful- just told me to turn it off and on again which hasn't helped.,1.0 out of 5 stars,Fitbit FB507BKBK Versa
603,"Not to clumsy on your wrist, plenty of choice if you want any different straps. Battery life could be better and the ability to load music not stream from phone",5.0 out of 5 stars,Fitbit FB507BKBK Versa
604,"Excellent

Bought as an upgrade from the Fitbit charge 2 very easy and quick set up quick charge and working like a dream",5.0 out of 5 stars,Fitbit FB507BKBK Versa
609,Kontrolle dauernd zu sehen . Sinnvoll überall zu sehen.,5.0 out of 5 stars,Fitbit FB507BKBK Versa
616,"Entspricht alldem, was man von einer Smartwatch erwartet.",5.0 out of 5 stars,Fitbit FB507BKBK Versa
626,Tracker didn't work,2.0 out of 5 stars,Fitbit FB507BKBK Versa
627,Good product works well and good value quick delivery I would recommend. The whole family have Fitbit now comparing are steps.,5.0 out of 5 stars,Fitbit FB507BKBK Versa
630,"Had my Fitbit for a month now and it’s great. Easy to track workouts and steps, as well as sleep. I wear it all the time - definitely worth the money.",5.0 out of 5 stars,Fitbit FB507BKBK Versa
633,"No puedo opinar de sus caracteristicas, porque ha sido un regalo para una tercera persona ,según el va todo perfecto",5.0 out of 5 stars,Fitbit FB507BKBK Versa
634,Schöne Uhr. Sieht sehr schön auf dem Handgelenk aus und erfüllt ganz ihren Zweck.,5.0 out of 5 stars,Fitbit FB507BKBK Versa
636,Sehr schöne Uhr,5.0 out of 5 stars,Fitbit FB507BKBK Versa
640,Great gift for a loved one,5.0 out of 5 stars,Fitbit FB507BKBK Versa
644,"Va genial me encanta, una muy buena compra.",5.0 out of 5 stars,Fitbit FB507BKBK Versa
649,I was not able to set up the device . It took like 30 min to get through it.,3.0 out of 5 stars,Fitbit FB507BKBK Versa
650,"Loved the colour, easy to see screen, useful information & I liked the app as well.",5.0 out of 5 stars,Fitbit FB507BKBK Versa
651,Meraviglioso.Non servono altre parole,5.0 out of 5 stars,Fitbit FB507BKBK Versa
652,Excelente producto,5.0 out of 5 stars,Fitbit FB507BKBK Versa
656,"Ottimo prodotto! Lo uso con huawei p20 lite e se si seguono tutte le istruzioni fornite funziona benissimo! Ottimo anche il rilevatore dell attività. Batteria buona, con l always on display anche 3 giorni",5.0 out of 5 stars,Fitbit FB507BKBK Versa
665,Lovely stuff,5.0 out of 5 stars,Fitbit FB507BKBK Versa
667,"Love the sleep tracking, Alexa app , the calls you can receive when no signal and your on WiFi & Bluetooth",5.0 out of 5 stars,Fitbit FB507BKBK Versa
670,"Really like the display options and all of the apps. Also find the step counter really accurate. After just two days of wear however, the silicone strap is already really irritating my skin making it quite red and itchy. I’ve ordered a replacement strap which will hopefully solve the problem",3.0 out of 5 stars,Fitbit FB507BKBK Versa
675,"Leider bin ich nicht zufrieden mit der Versa, mehrmals musste ich sie auf Werkseinstellung zurückzusetzen weil sie sich über Bluetooth nicht mehr mit der App verbinden lässt. Sehr ärgerlich!!!!!",2.0 out of 5 stars,Fitbit FB507BKBK Versa
676,Love my new fit bit I love the size and colour works well with an iphone,5.0 out of 5 stars,Fitbit FB507BKBK Versa
685,Value of money,5.0 out of 5 stars,Fitbit FB507BKBK Versa
686,Really pleased with this fitbit and it was easy to set up to my phone had no problems with it not syncing with the phone. Really pleased with it,5.0 out of 5 stars,Fitbit FB507BKBK Versa
695,"War für meinen Mann gedacht,  er ist  begeistert.  Einfache Einstellung und Handhabung.",5.0 out of 5 stars,Fitbit FB507BKBK Versa
699,Kids have a tendency to pull on the strap when being worn. Other than this great watch.,4.0 out of 5 stars,Fitbit FB507BKBK Versa
702,Battery life is good.Mobile app should be more gui interactive. Quite accurate.,5.0 out of 5 stars,Fitbit FB507BKBK Versa
710,Sorry but this no longer works I would like a refund please,1.0 out of 5 stars,Fitbit FB507BKBK Versa
718,Prodotto ottimo. Non mi piace molto il fatto che sia integrato solo con Spotify mentre altri hanno i controller sull app del cellulare.,5.0 out of 5 stars,Fitbit FB507BKBK Versa
719,"Non facilissimo, senza lode ma preciso",4.0 out of 5 stars,Fitbit FB507BKBK Versa
720,Ok,5.0 out of 5 stars,Fitbit FB507BKBK Versa
722,Purchased as a gift but the recipient loved everything about it.,5.0 out of 5 stars,Fitbit FB507BKBK Versa
723,Not value for money,3.0 out of 5 stars,Fitbit FB507BKBK Versa
731,Good watch. Syncs slowly.,4.0 out of 5 stars,Fitbit FB507BKBK Versa
733,i love this! so easy to set up and use and it keeps you motivated! i got 5 full days out of one charge and its been on and used constantly!,5.0 out of 5 stars,Fitbit FB507BKBK Versa
734,Love my Fitbit Versa 2. Suits my needs. Good app. Attractive. Not too heavy. Reasonable price. So good I bought another one for my daughter.,5.0 out of 5 stars,Fitbit FB507BKBK Versa
735,Like this product. Good to purchase. Accurate.,5.0 out of 5 stars,Fitbit FB507BKBK Versa
738,I upgraded from the versa I wish I hadn't It's larger & heavier alot more chunky Screen seems no different It's no quicker No speaker Nothing positive 2 say Except buy a versa not the versa 2,2.0 out of 5 stars,Fitbit FB507BKBK Versa
741,"Me ha gustado mucho. Tiene todo lo que se puede pedir en un reloj, además con alexa. Lo recomiendo.",5.0 out of 5 stars,Fitbit FB507BKBK Versa
742,Very easy to use,5.0 out of 5 stars,Fitbit FB507BKBK Versa
746,Super Uhr Funktioniert wie erwartet einwandfrei.,5.0 out of 5 stars,Fitbit FB507BKBK Versa
747,Sono davvero soddisfatta. La sincronizzazione con IOS è ottimale. Il contapassi non sempre è precisissimo,5.0 out of 5 stars,Fitbit FB507BKBK Versa
748,Great product. Bought this as a gift for someone and they absolutely love it!,5.0 out of 5 stars,Fitbit FB507BKBK Versa
749,good for motivation!,5.0 out of 5 stars,Fitbit FB507BKBK Versa
763,"No soy capaz de hacerlo funcionar,la aplicaciòn registra, pero la pantalla del reloj no refleja nada.",1.0 out of 5 stars,Fitbit FB507BKBK Versa
765,Works very well,5.0 out of 5 stars,Fitbit FB507BKBK Versa
774,Excellent fit bit but my only grievance is having to charge the battery every 2 days. My last fitbit lasted at least 4 days,5.0 out of 5 stars,Fitbit FB507BKBK Versa
779,"ottima batteria, dura 4gg senza problemi. un po' complicato da configurare all'inizio per le notifiche, ci sono parecchi settaggi da fare fra smartwatch e telefono. utile per i monitoraggi",4.0 out of 5 stars,Fitbit FB507BKBK Versa
781,"Funcionó un día, aunque la correa llegó rota y al día siguiente dejó de prender.
Muy mala experiencia",1.0 out of 5 stars,Fitbit FB507BKBK Versa
792,"Fatal, no cumple con las expectativas que aparenta ni de lejos.",1.0 out of 5 stars,Fitbit FB507BKBK Versa
793,Orologio da favola veloce performante semplice da usare elegante e leggero al polso davvero bello,5.0 out of 5 stars,Fitbit FB507BKBK Versa
794,Great product love using this watch,5.0 out of 5 stars,Fitbit FB507BKBK Versa
798,I am really happy with that watch. Moste important for me is fact that battery life is really good and also have connection with Dexcom G6 . Highly recommend !,5.0 out of 5 stars,Fitbit FB507BKBK Versa
